date,year_of,month_of,sname,birth,sex,grp,stime,min,age_sample,activity
2000-01-07,2000,Jan,LAS,1990-11-07,Female,2.2,16:13:00,7,9.166324435318275,Walk
2000-01-07,2000,Jan,LAS,1990-11-07,Female,2.2,16:13:00,8,9.166324435318275,Feed
2000-01-07,2000,Jan,LAZ,1991-09-12,Female,2.2,16:23:00,1,8.320328542094456,Groom
2000-01-07,2000,Jan,LAZ,1991-09-12,Female,2.2,16:23:00,2,8.320328542094456,Groom
2000-01-07,2000,Jan,LAZ,1991-09-12,Female,2.2,16:23:00,3,8.320328542094456,Groom
2000-01-07,2000,Jan,LAZ,1991-09-12,Female,2.2,16:23:00,4,8.320328542094456,Groom
2000-01-07,2000,Jan,LAZ,1991-09-12,Female,2.2,16:23:00,5,8.320328542094456,Groom
2000-01-07,2000,Jan,LAZ,1991-09-12,Female,2.2,16:23:00,6,8.320328542094456,Rest
2000-01-07,2000,Jan,LAZ,1991-09-12,Female,2.2,16:23:00,7,8.320328542094456,Walk
2000-01-07,2000,Jan,LAZ,1991-09-12,Female,2.2,16:23:00,8,8.320328542094456,Walk
2000-01-07,2000,Jan,LAZ,1991-09-12,Female,2.2,16:23:00,9,8.320328542094456,Rest
2000-01-07,2000,Jan,LAZ,1991-09-12,Female,2.2,16:23:00,10,8.320328542094456,Rest
2000-01-07,2000,Jan,LUN,1986-07-24,Female,2.2,16:33:00,1,13.456536618754278,Rest
2000-01-07,2000,Jan,LUN,1986-07-24,Female,2.2,16:33:00,2,13.456536618754278,Rest
2000-01-07,2000,Jan,LUN,1986-07-24,Female,2.2,16:33:00,3,13.456536618754278,Rest
2000-01-07,2000,Jan,LUN,1986-07-24,Female,2.2,16:33:00,4,13.456536618754278,Rest
2000-01-07,2000,Jan,LUN,1986-07-24,Female,2.2,16:33:00,5,13.456536618754278,Rest
2000-01-07,2000,Jan,LUN,1986-07-24,Female,2.2,16:33:00,6,13.456536618754278,Rest
2000-01-07,2000,Jan,LUN,1986-07-24,Female,2.2,16:33:00,7,13.456536618754278,Rest
2000-01-07,2000,Jan,LUN,1986-07-24,Female,2.2,16:33:00,8,13.456536618754278,Walk
2000-01-07,2000,Jan,LUN,1986-07-24,Female,2.2,16:33:00,9,13.456536618754278,Walk
2000-01-07,2000,Jan,WHE,1996-02-03,Female,2.2,17:11:00,1,3.9260780287474333,Feed
2000-01-07,2000,Jan,WHE,1996-02-03,Female,2.2,17:11:00,2,3.9260780287474333,Feed
2000-01-07,2000,Jan,WHE,1996-02-03,Female,2.2,17:11:00,3,3.9260780287474333,Walk
2000-01-07,2000,Jan,WHE,1996-02-03,Female,2.2,17:11:00,4,3.9260780287474333,Feed
2000-01-07,2000,Jan,WHE,1996-02-03,Female,2.2,17:11:00,5,3.9260780287474333,Feed
2000-01-07,2000,Jan,WHE,1996-02-03,Female,2.2,17:11:00,6,3.9260780287474333,Feed
2000-01-07,2000,Jan,WHE,1996-02-03,Female,2.2,17:11:00,7,3.9260780287474333,Feed
2000-01-07,2000,Jan,WHE,1996-02-03,Female,2.2,17:11:00,8,3.9260780287474333,Feed
2000-01-07,2000,Jan,KOL,1994-10-09,Female,2.2,17:20:00,1,5.245722108145106,Feed
2000-01-07,2000,Jan,KOL,1994-10-09,Female,2.2,17:20:00,2,5.245722108145106,Feed
